Timestamp,Timeline,Status,PR URL,GitHub User,Product Name,Demo URL,Video URL,Video User,Video Duration,Video Status,Player 1,Player 2,Player 3,Description
ago/24/2025 03:00,Delayed,Noncompliant,https://github.com/fepecas/senasoft/pull/108,byttt1103,TrixAI,-,-,-,-,Unsubmitted,,,,"En entornos hospitalarios hay dependencia de manuales largos y expertos no siempre disponibles, lo que genera retrasos, errores y riesgos en la gestión de información."
ago/24/2025 00:15,Delayed,Noncompliant,https://github.com/fepecas/senasoft/pull/104,dovinhoyos,AgriConnect,https://v0-globant-project-mockup.vercel.app/,https://www.youtube.com/watch?v=emeOVdjwdEE,https://www.youtube.com/@dovinrichardhoyos4003,2:38,Exceeded 2 minutes,,,,"Este PR agrega la definición completa del MVP para la plataforma de conexión entre campesinos colombianos y compradores urbanos, alineada con el CONPES 4144 (eje 6.3 – Uso y adopción de la IA)."
ago/24/2025 00:08,On time,Complete,https://github.com/fepecas/senasoft/pull/103,Cabrales16,MindInk,-,https://www.youtube.com/watch?v=qPVbHxopefo,https://www.youtube.com/@andrescabralesbaena642,2:06,Complete,ANDR** C B,NATA** M L,YINA** N B,"Este PR entrega el prototipo funcional del Diario Digital con acompañante de IA (opt‑in), desarrollado como parte del reto de la Ruta Habilitadora. Se enfoca en un flujo mínimo viable y documentación clara para evaluación."
ago/24/2025 00:02,On time,Noncompliant,https://github.com/fepecas/senasoft/pull/102,JuanmaCode2025,AgroSage,-,-,-,-,Unsubmitted,,,,"AgroSage IA es un asistente inteligente basado en una app movil parecida a WhatsApp diseñado específicamente para campesinos colombianos, que les permite planear y mejorar la producción de sus fincas de manera eficiente y sostenible."
ago/23/2025 23:59,On time,Awarded,https://github.com/fepecas/senasoft/pull/101,cristoferscalante,BeaconHelp,https://beaconhelp.netlify.app/,https://www.youtube.com/watch?v=LDuilVtNVis,https://www.youtube.com/@cristoferscalante,1:58,Complete,CRIS** B S,ESTE** R R,CATH** A R,"Atiende dos problemas críticos: Víctimas de violencia intrafamiliar/de género que no denuncian por miedo o desinformación. Dificultad para pedir ayuda rápida en robos y emergencias. Solución: app confidencial con *rutas de denuncia, *botón de pánico y *orientación psicológica, más un *módulo comunitario con geolocalización para reportar incidentes en tiempo real."
ago/23/2025 23:52,On time,Complete,https://github.com/fepecas/senasoft/pull/100,2Juguitos,CiviLink,https://v0.app/chat/login-page-creation-t9m3OM2ucYl,https://www.youtube.com/watch?v=Acjgdc9j_Ng,https://www.youtube.com/@carlosrestrepo4625,2:35,Exceeded 2 minutes,MONI** I C,CRIS** E P,CARL** A R,"Este PR introduce la primera versión navegable (v0) de CiviLink, una plataforma de ayudas ciudadanas pensada para facilitar la interacción entre comunidad e instituciones. El flujo de navegación está diseñado bajo principios de Material Design, garantizando simplicidad y usabilidad."
ago/23/2025 23:50,On time,Complete,https://github.com/fepecas/senasoft/pull/98,Zhale23,LUMINA,https://lumina-dnz.vercel.app,https://www.youtube.com/watch?v=zbCfO3m0eb8,https://www.youtube.com/@dan7munoz,1:58,Complete,ZHAR** L S,DAN** J M,NICO** T J,"Compartimos a continuación nuestro prototipo funcional acompañado de su proceso correctamente documentado. Conoce a LUMINA, un tutor de Inteligencia Artificial que aborda la desigualdad educativa."
ago/23/2025 23:36,On time,Complete,https://github.com/fepecas/senasoft/pull/96,CamilaAcs-sys,Planix,https://v0-project-management-ui-ochre.vercel.app/login,https://www.youtube.com/watch?v=EyggYgrlZn8,https://www.youtube.com/@LinaBambague444,1:53,Complete,CAMI** A,ALEJ** G,LINA** E B,"Este PR integra el desarrollo completo de Planix, un gestor de tareas y proyectos cuyo objetivo es resolver la fragmentación en la vida académica, profesional y personal de los usuarios."
ago/23/2025 23:10,On time,Complete,https://github.com/fepecas/senasoft/pull/91,Diegoalejandro17,Sayplas,https://v0.app/chat/say-plas-app-flow-mbwNiFlOiMw,https://www.youtube.com/shorts/80iTHKqafKc,https://www.youtube.com/@YulianaYate-i8s,1:37,Complete,DIEG** A P,EIMY** Y Y,JUAN** D C,"Una aplicación móvil con inteligencia artificial que conecta a ciudadanos y recicladores urbanos: Los ciudadanos informan cuándo y dónde tienen reciclaje disponible. Los recicladores reciben notificaciones en tiempo real y seleccionan qué recolecciones atender. Se generan rutas más eficientes, evitando trayectos innecesarios. Se muestran métricas de impacto ambiental y recompensas para incentivar el uso de la aplicación."
ago/23/2025 23:06,On time,Noncompliant,Invalid PR,bratt10,Tutor IA,-,-,-,-,Unsubmitted,,,,"Presentar el prototipo funcional del módulo de admisión con IA, desarrollado por el equipo Three Amigos como parte del reto ""Presenta tu Demo en 2 Minutos"" de SENASoft 2025."
